sample,hull_N,nkd_N,spklt_N,hull_F,nkd_F,spklt_F,hull_A,hull_A_SD,nkd_A,nkd_A_SD,spklt_A,spklt_A_SD,hull_C,hull_C_SD,nkd_C,nkd_C_SD,spklt_C,spklt_C_SD,hull_L,hull_L_SD,nkd_L,nkd_L_SD,spklt_L,spklt_L_SD,hull_W,hull_W_SD,nkd_W,nkd_W_SD,spklt_W,spklt_W_SD
C418S0003,179,452,0,163,328,0,181.4596861,106.3946335,135.9874668,65.30831829,nan,nan,0.588751252,0.209396496,0.599762185,0.151660602,nan,nan,9.276094345,4.583984836,7.611036001,2.953572784,nan,nan,2.569751158,0.784684555,2.344777481,0.680821697,nan,nan
C418S0004,66,147,0,45,130,0,175.6905793,97.08911481,87.43315508,75.53993244,nan,nan,0.558313282,0.115830522,0.71711593,0.17013077,nan,nan,8.940287415,3.682461559,5.288399432,3.429330691,nan,nan,2.598261909,0.959800614,1.946419761,0.86900285,nan,nan
C418S0005,32,546,0,28,325,0,173.8095238,108.8245664,103.5018903,69.34139121,nan,nan,0.429641338,0.17248208,0.685019387,0.173459949,nan,nan,10.77091342,5.971217281,6.02096791,3.18388004,nan,nan,2.223842976,1.148984025,2.11186797,0.751853591,nan,nan
C418S0008,230,199,0,203,182,0,79.69777136,70.61035683,105.1629743,73.62290669,nan,nan,0.764405222,0.189511074,0.656951538,0.190459145,nan,nan,4.864835245,2.710588905,6.252316292,3.585154198,nan,nan,2.150380292,0.715010003,1.989154579,0.770224331,nan,nan
C418S0006,190,225,0,172,215,0,121.8193843,88.4194197,61.91558442,75.09740268,nan,nan,0.675192431,0.160412872,0.745346759,0.153939256,nan,nan,6.485138095,3.102114773,4.059918459,3.318750687,nan,nan,2.424728817,0.781264719,1.584328645,0.811791886,nan,nan
C418S0007,241,304,0,188,246,0,61.74344523,67.06544812,150.785565,39.61358799,nan,nan,0.806818283,0.173006251,0.547719873,0.108867811,nan,nan,3.960030951,2.729518345,8.477614198,1.852065011,nan,nan,1.89283268,0.682305018,2.437065691,0.430032882,nan,nan
C418S0009,55,117,0,49,91,0,41.95526696,35.99018882,176.7690643,36.87339747,nan,nan,0.744431854,0.170814857,0.615275474,0.12098589,nan,nan,3.367007915,1.256827935,8.635904679,1.586172623,nan,nan,1.605305325,0.83843245,2.934937183,0.366613397,nan,nan
C418S0010,149,413,0,125,197,0,30.76298701,43.19391324,146.0182179,43.2600795,nan,nan,0.579101533,0.213078724,0.655124891,0.106231849,nan,nan,3.615209834,1.94061868,7.463730546,1.7724734,nan,nan,1.072478802,0.57316473,2.729308451,0.528663147,nan,nan
C418S0011,215,303,0,187,249,0,80.01314162,73.90788619,131.7460317,52.61935564,nan,nan,0.660759797,0.181250047,0.649212514,0.116337062,nan,nan,5.124437764,2.858792163,7.074654764,2.232839635,nan,nan,1.863503193,0.871723715,2.498646325,0.59610339,nan,nan
C418S0015 copy,68,110,0,13,29,0,315.3010626,16.39867989,160.361552,53.39723302,nan,nan,0.48058878,0.036360339,0.605706774,0.13590402,nan,nan,13.12144883,0.583949074,8.213776604,2.274528581,nan,nan,3.354449749,0.18034947,2.633685196,0.4316308,nan,nan
C418S0012,95,81,0,88,74,0,167.4397032,81.91245296,120.5627706,73.1280935,nan,nan,0.677436303,0.173721226,0.676660884,0.164395603,nan,nan,8.206693754,3.389361816,6.51433342,3.319759392,nan,nan,2.949822424,0.492125525,2.264865108,0.815784066,nan,nan
C418S002,30,212,0,27,140,0,90.58441558,111.2562008,93.47643098,54.40993289,nan,nan,0.523942208,0.124989619,0.63366706,0.179286545,nan,nan,6.538093911,5.375427494,6.162765271,2.715708611,nan,nan,1.630805685,0.921866849,2.007628157,0.573105634,nan,nan
C418S0057,71,182,0,7,25,0,318.3948864,105.3108698,105.6366669,70.89373169,nan,nan,0.492253454,0.145643528,0.674127474,0.197325951,nan,nan,13.25274787,3.747915781,6.2691668,3.323618972,nan,nan,3.222238191,0.696350081,2.120184373,0.62298771,nan,nan
